text,threat_level,bns_section
we are going to jaan se maar dunga college ke bahar bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
woh looks like a bhikhari pathetic,Medium,BNS Section 352 (Intentional Insult)
that finished the presentation very well,Low,None
bahar nikal maar maar ke suja dunga your sister last warning,High,BNS Section 351 (Criminal Intimidation)
the manager noticed the level today,Low,None
he hamesha rehta hai nalla disgusting,Medium,BNS Section 352 (Intentional Insult)
the boss liked the email slowly,Low,None
teri maa hamesha rehta hai fattu kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the team saw the email perfectly,Low,None
main murder kar dunga tere dosto ko kal tak,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh gala daba dunga teri family ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
that enjoyed the code tonight,Low,None
we fixed the code perfectly,Low,None
my brother enjoyed the movie yesterday,Low,None
teri maa lagta hai kutti kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
tu is such a dhokebaaz kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
this guy looks like a gawar bilkul,Medium,BNS Section 352 (Intentional Insult)
woh samajhta hai khud ko gadha harami,Medium,BNS Section 352 (Intentional Insult)
"bhaiya ji, aukat me raho ekdum",Medium,BNS Section 352 (Intentional Insult)
iska bhai dikh raha hai gadha totally,Medium,BNS Section 352 (Intentional Insult)
teri maa acts like a chapri hamesha,Medium,BNS Section 352 (Intentional Insult)
teri hamesha rehta hai fattu hamesha,Medium,BNS Section 352 (Intentional Insult)
the manager fixed the bugs perfectly,Low,None
she killed the exam very well,Low,None
everyone completed the report yesterday,Low,None
apna time ayega toh will office me kasam se,High,BNS Section 351 (Criminal Intimidation)
the manager created the boss fight very well,Low,None
yeh ladka looks like a nalla pathetic,Medium,BNS Section 352 (Intentional Insult)
we found the email very well,Low,None
that heard the bugs with ease,Low,None
my friend resolved the code very well,Low,None
teri maa ban raha hai kutti bilkul,Medium,BNS Section 352 (Intentional Insult)
iski sakal is such a buddhu ekdum,Medium,BNS Section 352 (Intentional Insult)
nobody liked the code safely,Low,None
he coded the assignment with ease,Low,None
she lag raha hai fattu sabse bada,Medium,BNS Section 352 (Intentional Insult)
mera bhai blast kar dunga your sister warna tera,High,BNS Section 351 (Criminal Intimidation)
you lagta hai chutiya faltu,Medium,BNS Section 352 (Intentional Insult)
i created the email with ease,Low,None
tum sab is a dhokebaaz totally,Medium,BNS Section 352 (Intentional Insult)
we destroyed the pizza smoothly,Low,None
main khatam kar dunga college ke bahar soch le,High,BNS Section 351 (Criminal Intimidation)
this heard the level like a boss,Low,None
the player resolved the meeting like a boss,Low,None
teri toh main goli maar dunga raste pe zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
isko dekho looks like a kaminay pathetic,Medium,BNS Section 352 (Intentional Insult)
tu is such a nalayak kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
i will jinda nahi chodunga teri family ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
tu samajhta hai khud ko nalayak kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
yeh banda dikh raha hai ugly ghatiya,Medium,BNS Section 352 (Intentional Insult)
yeh banda lagta hai bhikhari disgusting,Medium,BNS Section 352 (Intentional Insult)
i will jinda nahi chodunga tujhe aaj raat,High,BNS Section 351 (Criminal Intimidation)
mera gang murder kar dunga college ke bahar dekh liyo,High,BNS Section 351 (Criminal Intimidation)
i will kidnap kar lunga teri family ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
teri behan samajhta hai khud ko loser kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the teacher killed the boss fight safely,Low,None
teri behan hamesha behaves like fattu maha,Medium,BNS Section 352 (Intentional Insult)
